title,description,keywords,semantic_density,emotion_score,entropy,cliche_score
나쁜사랑,"거대한 운명의 소용돌이 한가운데서 사투를 벌이는 여인의 이야기인 동시에, 조건 없는 사랑을 베푸는 모성에 대한 이야기","이야기, 가운데, 사투, 여인, 조건, 동시, 없, 소용돌이, 사랑, 운명",0.90949,0.3999999992,0.1729125235749445,67.16
liar(드라마),비밀스러운 사랑을 이어가는 두 남녀. 남성 시선과 여성 시선이 번갈아 전개되며 어긋나는 사랑을 그린 드라마,"시선, 사랑, 남성, 여성, 남녀, 전개, 비밀, 드라마",0.83471996,0.499999999,0.287585624326253,66.9
십이봉신,"12통의 비밀스러운 편지, 35년을 이어온 기다림. 이 드라마는 작은 마을 소년의 운명과 사랑에 초점을 두고, 판타지의 방식으로, 서스펜스를 미끼로, 감정을 핵심으로 하여, 전통적인 서사 방식을 돌파하고 두 개의 시공간을 이어주는 독특한 메커니즘을 만들어냈으며, 변덕스러운 날씨와 낡은 교실의 칠판을 통해 두 개의 시공간이 연결되며 사람들의 흥미를 끈다. 갑자기 실종된 연인과 신비로운 시공간을 가로지르는 편지는 남자 주인공에게 의혹을 던진다.","시공간, 편지, 방식, 드라마, 작, 마을, 소년, 운명, 사랑, 초점",0.9048508,0.3999999992,0.1729125235749445,66.88
대군 - 사랑을 그리다,"동생을 죽여서라도 갖고 싶었던 사랑, 이 세상 아무도 다가올 수 없게 만들고 싶었던 그 여자를 둘러싼 그들의 뜨거웠던 욕망과 순정의 기록을 담은 드라마","없, 욕망, 여자, 세상, 순정, 사랑, 기록, 동생, 드라마",0.8704415,0.4444444435555555,0.2270571177148983,66.74
붉은 사과(드라마),사랑이 금지된 세계에서 사랑의 유혹으로 빠져드는 주인공의 모습을 그린 드라마,"사랑, 유혹, 주인공, 세계, 모습, 금지, 드라마",0.8987848,0.2857142851428571,0.3562071855243308,66.41
착하지 않은 여자들,"3대에 걸친 착하지 않은 여자들이 휘청이는 인생을 버티면서 겪는 사랑과 성공, 행복 찾기를 담은 드라마","사랑, 인생, 성공, 여자, 행복, 착하, 드라마",0.7714252,0.5714285702857143,0.3562071855243308,65.91
장미빛 연인들,어린 나이에 크게 한 번 넘어졌지만 주저앉지 않고 다시 일어나 인생에 대한 해답과 행복을 찾아가는 주인공과 그 가족을 통해 희망을 그린 드라마,"인생, 주인공, 해답, 행복, 크, 가족, 나이, 희망, 어리, 드라마",0.88781464,0.3999999992,0.1729125235749445,65.86
미워도 사랑해,어려서부터 파란만장한 삶을 살아오다 결국 모든 것을 잃고 새롭게 시작한 시기에 아이러니컬하게 인생의 꽃을 피우는 한 여성의 삶을 따라가면서 우리를 지탱하는 가장 큰 가치는 핏줄도 법도 아닌 바로 인간 사이에서 채워지는 인간 간의 정이요 사랑이라는 이야기를 담은 휴먼가족 드라마,"삶, 인간, 이야기, 사랑, 시작, 정, 시기, 아이러니컬, 인생, 사이",0.9651161,0.1999999996,0.1729125235749445,65.5
마이 홈 히어로(드라마),평범한 샐러리맨 주인공이 사랑하는 가족을 지키기 위해 악의 무리에 맞서 싸우는 이야기를 그린 드라마,"가족, 악, 사랑, 무리, 주인공, 이야기, 샐러리맨, 드라마",0.91516846,0.2499999995,0.287585624326253,65.47
아는 와이프,한 번의 선택으로 달라진 현재를 살게 된 운명적인 러브스토리를 그린 드라마,"운명, 러브, 현재, 스토리, 선택, 드라마",0.8428594,0.3333333326666666,0.4354249642966395,65.44
복수가 돌아왔다,"학교 폭력 가해자로 몰려 부당하게 퇴학을 당한 강복수가, 어른이 돼 학교로 다시 돌아가 복수를 계획하지만, 복수는 고사하고 또다시 사건에 휘말리고 사랑도 다시 하는 엉뚱하면서 따뜻한 감성 로맨스","복수, 학교, 사랑, 사건, 퇴학, 부당, 강, 계획, 어른, 따뜻하",0.8795911,0.3999999992,0.1729125235749445,65.37
기린이 온다,수수께끼 같은 주인공의 생애를 중심으로 전국 영걸들의 운명의 장래를 그린 드라마,"생애, 걸, 중심, 전국, 주인공, 운명, 같, 장래, 수수께끼, 드라마",0.9620561,0.1999999996,0.1729125235749445,65.32
모민의 방,"청춘들의 사랑과 우정, 가족 이야기를 그린 드라마","우정, 가족, 사랑, 이야기, 청춘, 드라마",0.83820516,0.3333333326666666,0.4354249642966395,65.16
별난 가족,꿈과 사랑을 향한 치열한 청춘들과 그 곁 별난 가족들의 이야기,"청춘, 곁, 치열, 별나, 사랑, 가족, 꿈, 이야기",0.9069122,0.2499999995,0.287585624326253,64.98
견우와 선녀(드라마),"죽을 운명을 가진 소년과 이를 막으려는 MZ무당 소녀, 열여덟 청춘들의 거침없는 첫사랑 구원 로맨스","소녀, 거침없, 청춘, 무당, 첫사랑, 소년, 구원, 운명, 로맨스",0.8388157,0.4444444435555555,0.2270571177148983,64.85
마담 앙트완,임상심리전문가를 중심으로 사랑에 대한 이야기와 상처를 그려내는 로맨틱 코미디 드라마,"중심, 상처, 사랑, 이야기, 전문가, 로맨틱, 심리, 코미디, 임상, 드라마",0.9537073,0.1999999996,0.1729125235749445,64.82
사랑 따위 진심으로 해서 어쩌려고?,진심 어린 사랑에 도전하는 6명의 남녀가 만들어 가는 군상 러브 스토리 드라마,"도전, 군상, 남녀, 사랑, 러브, 어리, 스토리, 진심, 드라마",0.92660725,0.2222222217777777,0.2270571177148983,64.56
사랑이 오네요,사랑에 상처 입고 미혼모가 된 한 여자가 소박한 일상의 행복을 추구하며 다시 찾아온 사랑을 쟁취하고 가족의 소중함을 새겨 나가는 이야기를 그린 드라마,"사랑, 쟁취, 추구, 여자, 일상, 행복, 가족, 미혼모, 이야기, 상처",0.8655925,0.3999999992,0.1729125235749445,64.53
미스터 하트,"그와 그녀의 사랑 얘기로 그저 그런 사랑이야기가 아니라, 진원과 상하의 브로맨스를 통해서 그와 그의 심장 쿵쾅거리는 레이스를 펼쳐보려고 한다.","상하, 진원, 이야기, 사랑, 브로맨스, 심장, 얘기, 레이스",0.89939845,0.2499999995,0.287585624326253,64.53
비밀의 남자,사고로 일곱 살의 지능을 갖게 된 한 남자가 죽음의 문턱에서 기적을 마주하며 복수를 위해 질주하는 과정을 그린 드라마,"죽음, 복수, 문턱, 기적, 남자, 질주, 지능, 과정, 사고, 드라마",0.8627842,0.3999999992,0.1729125235749445,64.36
역류(드라마),사랑하는 사람과 필요한 사람이 엇갈린 인물들이 복수와 욕망을 위해 벌이는 위태로운 싸움을 그린 홈멜로 심리스릴러,"사람, 홈, 싸움, 욕망, 복수, 인물, 멜로, 필요, 심리, 스릴러",0.8627725,0.3999999992,0.1729125235749445,64.36
롯폰기 클라쓰,절망의 늪에 몰린 청년이 복수를 다짐하며 돈과 권력을 휘두르는 거대 기업에 굴하지 않고 동료와 함께 맞서 나가는 이야기,"거대, 복수, 권력, 다짐, 돈, 기업, 청년, 동료, 늪, 절망",0.8615566,0.3999999992,0.1729125235749445,64.29
동백꽃 필 무렵,"편견에 갇힌 맹수 동백을 깨우는, 촌므파탈 황용식이의 폭격형 로맨스 ""사랑하면 다 돼!"" 이들을 둘러싼 생활밀착형 치정 로맨스 ""사랑 같은 소리하네.""","로맨스, 사랑, 촌므파탈, 황, 용, 식이, 폭격, 동백, 치정, 생활",0.9442771,0.1999999996,0.1729125235749445,64.25
노구문,광산의 미스터리를 파헤치기 위해 비밀들을 조사해 나가며 우애와 사랑을 쌓는 이야기,"조사, 비밀, 우애, 미스터리, 사랑, 광산, 이야기",0.74330455,0.5714285702857143,0.3562071855243308,64.23
사랑의 이해,각기 다른 이해(利害)를 가진 이들이 서로를 만나 진정한 '사랑'의 의미를 이해(理解) 하게 되는 이야기를 담은 멜로드라마,"이해, 의미, 사랑, 이야기, 서로, 멜로드라마",0.8186288,0.3333333326666666,0.4354249642966395,63.98
밥만 잘 사주는 이상한 이사님(드라마),네 번의 생을 모두 기억하고 살아낸 유담과 그와 연애해야만 생을 유지할 수 있는 신의 아이 동백이 만나 서로에게 얽힌 저주를 풀기 위해 진짜 사랑을 찾아가는 좌충우돌 환생 로맨틱 코미디,"생, 좌충우돌, 사랑, 진짜, 저주, 서로, 동백, 아이, 연애, 담",0.9394448,0.1999999996,0.1729125235749445,63.96
돌아와요 아저씨,죽음에서 잠깐이라도 다시 돌아온다는 전제하에 역송체험을 하게 되는 두 남녀의 모습을 그린 드라마,"하, 체험, 역, 송, 전제, 남녀, 잠깐, 모습, 죽음, 드라마",0.93846214,0.1999999996,0.1729125235749445,63.9
엄마(드라마),홀로 자식들을 키우며 모든 것을 희생한 엄마가 '효도는 셀프'라면서도 어떻게든 유산은 받겠다는 괘씸한 자식들을 향해 통쾌한 복수전을 펼치는 이야기,"자식, 통쾌, 유산, 셀프, 효도, 복수, 엄마, 전, 희생, 이야기",0.84978056,0.3999999992,0.1729125235749445,63.58
세 명이서 결혼 생활 중입니다,"결혼기념일 밤, 남편의 외도 상대가 자신의 쌍둥이 여동생임을 알게 된 유리아! 충격에 휩싸이는 것도 잠시, 그녀는 가장 사랑했던 두 사람을 망가뜨릴 완벽한 복수를 계획한다. 한 여자의 인생을 건 멜로 복수극, 성공할 수 있을까?","복수, 외도, 상대, 자신, 쌍둥이, 여동생, 유리아, 멜로, 충격, 사랑",0.7652992,0.5999999988,0.1729125235749445,63.51
바람과 구름과 비(TV조선),"운명을 읽는 조선 최고의 역술가이자 명리를 무기로 활용하는 주인공의 아름다운 도전과 애절한 사랑, 그리고 그와 그의 사랑을 위협하는 킹메이커들과 펼치는 왕위쟁탈전을 담은 드라마","사랑, 역, 메이커, 술, 명리, 킹, 무기, 위협, 활용, 주인공",0.93154436,0.1999999996,0.1729125235749445,63.49
미끼(드라마),사상 최악의 사기 범죄를 저지르고 죽음 뒤로 숨어버린 '그 놈'을 추적하는 사람들의 이야기,"범죄, 뒤, 죽음, 사기, 추적, 최악, 사람, 사상, 이야기",0.8120004,0.4444444435555555,0.2270571177148983,63.24
러브 미,"내 인생만 애틋했던, 조금은 이기적이라 어쩌면 더 평범한 가족이 각자의 사랑을 시작하며 성장하는 이야기를 그린 드라마","가족, 시작, 각자, 사랑, 이기, 성장, 조금, 이야기, 인생, 드라마",0.9253098,0.1999999996,0.1729125235749445,63.11
거의 평범한 가족,"겉으로 완벽해 보이는 가족. 충격적인 살인 사건이 발생하면서 이들의 세상이 무너지고, 서로를 지키기 위해서라면 어떤 행동도 감행할 수 있는 사람들이라는 사실이 드러난다.","감행, 충격, 살인, 행동, 서로, 사건, 발생, 세상, 가족, 있",0.92363536,0.1999999996,0.1729125235749445,63.01
대도시의 사랑법(드라마),"“그러거나 말거나, 너였으니까”. “좋아해요, 당신이라는 우주를요” 청춘들의 달콤한 만남과 이별의 아픔, 어딘가 모르게 나와 비슷한 사랑의 경험을 한 ‘고영’의 성장기","이별, 사랑, 아픔, 만남, 경험, 청춘, 고영, 우주, 성장기",0.80779153,0.4444444435555555,0.2270571177148983,62.98
서울 블루스,"엇갈린 삼각관계, 숨겨진 과거, 그리고 다시 찾아온 옛 연인... 세 친구의 사랑은 어디로 향할 것인가? 오랜만에 만난 민지, 대영, 정하 사이에 과거 키스의 기억이 떠오르며 묘한 긴장감이 흐른다. 엇갈리는 고백과 사랑 속에 상처받는 마음, 그리고 예상치 못한 인물의 등장하며 관계는 더욱 복잡해진다. 질투, 오해, 배신 속에서 흔들리는 사랑, 과연 이들은 진정한 행복을 찾을 수 있을까?","사랑, 속, 과거, 친구, 관계, 등장, 오랜만, 인물, 하, 사이",0.9231109,0.1999999996,0.1729125235749445,62.98
숨바꼭질(드라마),"대한민국 유수의 화장품 기업의 상속녀와 그녀의 인생을 대신 살아야만 했던 또 다른 여자에게 주어진 운명, 그리고 이를 둘러싼 욕망과 비밀을 그린 드라마","기업, 운명, 상속녀, 여자, 인생, 대신, 욕망, 화장품, 비밀, 유수",0.7560647,0.5999999988,0.1729125235749445,62.96
"그래, 그런거야","가족의 문화가 변하고 있는 현대 사회에서 대가족의 한 사람으로 살아가는 것의 의미와, 가족의 이름으로 서로 사랑하고 위로하며 갈등을 극복하고 행복해하는 모습을 통해 가족의 소중함과 가치를 일깨워주는 드라마","가족, 모습, 행복, 갈등, 극복, 위로, 사랑, 이름, 사회, 사람",0.8393483,0.3999999992,0.1729125235749445,62.95
상류사회(드라마),"황금 수저를 입에 물고 태어난 재벌딸과 황금사다리를 오르려는 개천용, 두 사람의 불평등한 계급 간 로맨스를 통해 진정한 사랑의 의미와 오포 세대 청춘들에게 희망의 메시지를 전하는 청춘 멜로 드라마","청춘, 황금, 메시지, 희망, 세대, 딸, 오, 재벌, 의미, 사랑",0.838657,0.3999999992,0.1729125235749445,62.91
모두의 연애,"현실 공감 토크 드라마로 펼쳐지는 우리들의 보편적인 연애 이력! 누구에게라도 털어놓고 싶었던 그 이야기의 시작. 사랑이 어려운 이 시대, 잠들어있던 연애 세포를 깨운다. 어쩌면 당신의 이야기, '모두의 연애'","연애, 이야기, 드라마, 보편, 이력, 사랑, 세포, 시작, 시대, 토크",0.9173804,0.1999999996,0.1729125235749445,62.64
무림학교,"취업과 스펙 쌓기가 아닌 정직, 신의, 생존, 희생, 소통, 관계 등 사회에 나가 세상에 맞설 수 있는 덕목을 배우는 무림캠퍼스에서 벌어지는 20대 청춘들의 액션 로맨스 드라마","신의, 청춘, 생존, 캠퍼스, 희생, 무림, 덕목, 소통, 관계, 있",0.91724944,0.1999999996,0.1729125235749445,62.63
무언가 잘못되었다,긴 시간 어긋나있던 서로의 감정을 첫 단추부터 다시 채우려는 두 청춘의 사랑 이야기,"감정, 단추, 서로, 청춘, 시간, 사랑, 길, 이야기",0.8652588,0.2499999995,0.287585624326253,62.48
런 온,"같은 한국말을 쓰면서도 소통이 어려운 시대, 서로 다른 세계에 살던 사람들이 각자의 언어로 소통하고 관계를 맺으며, 사랑을 향해 '런 온'하는 로맨스 드라마","소통, 사랑, 관계, 시대, 세계, 언어, 각자, 사람, 런 온, 로맨스",0.93348986,0.1818181814545454,0.1239327803995606,62.41
더 퍼지(드라마),모든 범죄가 합법화되는 12시간 동안 작은 마을에서 인물들이 살아남기 위해 그 한계를 무너트리는 이야기,"작, 인물, 마을, 동안, 한계, 합법, 너트, 범죄, 이야기",0.8891727,0.2222222217777777,0.2270571177148983,62.31
슬플 때 사랑한다,"'쫓기는 여자, 쫓는 남자, 숨겨준 남자'. 사랑은 흔하나 진짜 사랑은 힘든 시대! 진정한 사랑을 찾아가는 세 남녀의 격정 멜로 드라마","사랑, 남자, 남녀, 시대, 힘들, 진짜, 흔하, 격정, 멜로, 드라마",0.9107824,0.1999999996,0.1729125235749445,62.24
이브의 사랑,친구의 배신으로 모든 것을 빼앗긴 한 여자가 역경을 이겨내고 잃어버린 것을 되찾는 고난 운명 극복기를 그린 드라마,"역경, 고난, 여자, 운명, 배신, 극복, 친구, 드라마",0.8597643,0.2499999995,0.287585624326253,62.15
around 1/4,"학창 시절 같은 곳에서 아르바이트를 했던 남녀 5명이 마주한 25세 전후의 벽, 사랑의 분기점을 나름대로 극복할 방법을 찾아가는 모습을 그린 드라마","극복, 곳, 아르바이트, 분기점, 사랑, 남녀, 전후, 벽, 같, 방법",0.90904266,0.1999999996,0.1729125235749445,62.14
달콤한 비밀,"밝고 당당한 미혼모가 일과 사랑, 그리고 아이를 지키기 위해 고군분투하는 이야기를 통해 진정한 가족과 사랑을 만들어가는 가족극","사랑, 가족, 아이, 고군분투, 이야기, 일, 미혼모, 밝, 극",0.8852495,0.2222222217777777,0.2270571177148983,62.08
미지의 서울,얼굴 빼고 모든 게 다른 쌍둥이 자매가 인생을 맞바꾸는 거짓말로 진짜 사랑과 인생을 찾아가는 로맨틱 성장 드라마,"인생, 거짓말, 사랑, 자매, 로맨틱, 성장, 쌍둥이, 얼굴, 드라마",0.79058,0.4444444435555555,0.2270571177148983,61.95
비켜라 운명아,알고 보니 우리 할아버지가 회장님!? 평범한 흙수저 청년과 주변 인물들이 거꾸로 운명의 강을 거슬러 오르며 사랑과 꿈을 찾아 도전장을 내미는 유쾌 통쾌 상쾌 드라마,"청년, 꿈, 주변, 사랑, 인물, 강, 운명, 도전장, 흙수저, 회장",0.8213604,0.3999999992,0.1729125235749445,61.88
당신이 잠든 사이에,"누군가에 닥칠 불행한 사건, 사고를 꿈으로 미리 볼 수 있는 여자와 그 꿈이 현실이 되는 것을 막기 위해 고군분투하는 검사의 이야기","꿈, 현실, 있, 여자, 고군분투, 사고, 검사, 사건, 이야기, 불행",0.90416807,0.1999999996,0.1729125235749445,61.84
다시 시작해,백화점 판매사원 주인공이 자기 운명을 스스로 개척해 나가며 자신의 분야에서 일과 사랑을 모두 이뤄내는 '알파 신데렐라' 이야기를 그린 드라마,"알파, 주인공, 운명, 사랑, 일, 개척, 자신, 분야, 사원, 신데렐라",0.81795406,0.3999999992,0.1729125235749445,61.67
알 수도 있는 사람,"옛 연인이 남긴 스마트폰의 비밀번호를 풀며, 잠겨버린 사랑의 기억도 함께 풀어가는 미스터리 삼각 로맨스","사랑, 기억, 비밀번호, 미스터리, 스마트폰, 삼각, 연인, 로맨스",0.7474399,0.499999999,0.287585624326253,61.66
나기의 휴식(드라마),줄곧 남의 눈치만 살피며 타인에게 맞추며 살았던 주인공이 어느 날 과호흡으로 쓰러진 것을 계기로 새로운 인생을 살기 위해 고군분투하는 이야기,"주인공, 계기, 날, 호흡, 타인, 인생, 눈치, 고군분투, 남, 이야기",0.98440593,0.0,0.1729125235749445,61.66
일리있는 사랑,결혼 후에 찾아온 첫 사랑. 아내가 사랑에 빠졌다. 운명일 수밖에 없는 어느 사랑스러운 부부에 대한 명랑 상큼한 이야기,"사랑, 아내, 없, 운명, 부부, 명랑, 후, 이야기, 결혼",0.78522474,0.4444444435555555,0.2270571177148983,61.63
목표가 생겼다,자신의 삶을 불행하게 만든 사람들에게 복수하기 위해 '행복 망치기 프로젝트'를 계획한 19세 소녀 소현(김환희 분)의 발칙하고 은밀한 작전을 담은 드라마. 2020년 MBC 극본공모전 당선작,"사람, 드라마, 복수, 작전, 행복, 분, 프로젝트, 김환희, 계획, 소현",0.8170325,0.3999999992,0.1729125235749445,61.62
수상한 파트너,유능한 검사와 법조 연수생 남녀주인공이 얽히며 운명인지 우연인지 서로에게 끌리게 되는 달콤하고 씁쓸한 로맨틱 코미디,"우연, 연수, 운명, 남녀, 주인공, 서로, 법조, 로맨틱, 검사, 유능",0.8997513,0.1999999996,0.1729125235749445,61.58
바람이 분다(드라마),이별 후에 다시 사랑에 빠진 두 남녀가 어제의 기억과 내일의 사랑을 지켜내는 로맨스,"사랑, 남녀, 기억, 어제, 내일, 후, 이별, 로맨스",0.74229956,0.499999999,0.287585624326253,61.35
봄에서 사랑하자,"성인들 사이에서 벌어지는 파란만장 연애사, 그 속에서 서로를 구원하고 구원받는 사랑을 다룬 이야기. 어린 시절 오만하고 안하무인이던 천마이둥은 큰 변고를 겪은 후 시신 성형사가 되고 좡지에는 교통사고로 인해 장애인이 되었지만 혼자 힘으로 직장 엘리트가 된다. 그런 두 사람이 만나 서로 부딪치고 이해하고 존중하면서 ""완벽하지 않은"" 서로를 사랑으로 치유한다.","서로, 사랑, 구원, 연애사, 좡지, 형사, 교통사고, 성, 속, 장애인",0.89574116,0.1999999996,0.1729125235749445,61.34
SUPER RICH,"돈은 있지만, 사랑에 굶주린 고독한 커리어 우먼의 파란만장한 인생을 그린 드라마","커리어, 우먼, 고독, 파란만장, 사랑, 인생, 돈, 드라마",0.84467995,0.2499999995,0.287585624326253,61.24
EXIT(드라마),한순간이라도 행복해지고 싶었던 그의 이야기,"한순간, 행복, 이야기",0.5449482,0.6666666653333333,0.7916321518765637,61.24
러블리 호러블리,운명을 공유하는 한 남녀가 톱스타와 드라마 작가로 만나면서 일어나는 기이한 일들을 그린 호러 로맨틱 코미디,"톱스타, 일, 드라마, 작가, 남녀, 호러, 공유, 로맨틱, 운명, 코미디",0.89392596,0.1999999996,0.1729125235749445,61.23
미성년 ~미숙한 우리들은 서툴게 진행중~,고등학교 2학년이라는 미숙한 두 사람이 사랑이라는 첫 감정에 당황하면서도 성장해 가는 순애보 러브 스토리 드라마,"순애보, 사랑, 성장, 감정, 당황, 러브, 사람, 스토리, 학년, 고등학교",0.892928,0.1999999996,0.1729125235749445,61.17
오늘부터 사랑해,재입양 끝에 가족 구성원이 된 여자와 혈육 대신 사랑을 택한 남자의 우여곡절 결혼을 그린 드라마,"구성원, 남자, 여자, 사랑, 혈육, 대신, 우여곡절, 가족, 결혼, 끝",0.8928334,0.1999999996,0.1729125235749445,61.16
꾸미는 사랑에는 이유가 있어,다른 가치관을 가진 사람들이 한 지붕 아래에서 다양한 사랑에 빠지는 심쿵 러브 스토리,"아래, 다양, 지붕, 사랑, 사람, 러브, 가치관, 스토리",0.84322464,0.2499999995,0.287585624326253,61.16
"손 꼭 잡고, 지는 석양을 바라보자","한 부부가 죽음이라는 위기에 직면하면서 살아온 시간을 돌아보고, 또 잊고 살았던 것들을 하나씩 되짚어보며 서로에 대한 사랑과 가족의 소중함을 확인하게 된다는 내용을 그린 드라마","가족, 직면, 사랑, 시간, 서로, 확인, 위기, 내용, 죽음, 부부",0.8086386,0.3999999992,0.1729125235749445,61.11
사운드트랙#2,피아노 과외 선생님 ‘현서’가 뜨겁게 사랑하고 차갑게 헤어졌던 전연인과 바랜 꿈을 다시 잡아준 연하남과 함께 뮤직 프로젝트를 위해 한 집에 머물게 되면서 벌어지는 로맨스 드라마,"프로젝트, 현서, 사랑, 뮤직, 남, 연인, 꿈, 연하, 선생, 집",0.891403,0.1999999996,0.1729125235749445,61.08
